Order,Country,Gold,Silver,Bronze,Total,Order by Total,Country Code
1,Norway,9,5,7,21,1,NOR
2,Germany,8,5,1,14,3,GER
3,United States of America,6,5,1,12,6,USA
4,Netherlands,6,4,2,12,6,NED
5,Sweden,5,3,3,11,8,SWE
6,Austria,4,6,4,14,3,AUT
7,ROC,4,5,8,17,2,ROC
8,People's Republic of China,4,3,2,9,12,CHN
9,Switzerland,3,0,5,8,13,SUI
10,France,2,6,2,10,11,FRA
11,Italy,2,5,4,11,8,ITA
12,Japan,2,4,5,11,8,JPN
13,Slovenia,2,2,2,6,14,SLO
14,Canada,1,4,9,14,3,CAN
15,Republic of Korea,1,3,1,5,15,KOR
16,Australia,1,2,1,4,16,AUS
17,Finland,1,1,2,4,16,FIN
18,Hungary,1,0,2,3,18,HUN
19,Czech Republic,1,0,1,2,19,CZE
20,New Zealand,1,0,0,1,20,NZL
20,Slovakia,1,0,0,1,20,SVK
22,Belarus,0,1,0,1,20,BLR
22,Spain,0,1,0,1,20,ESP
24,Belgium,0,0,1,1,20,BEL
24,Latvia,0,0,1,1,20,LAT
24,Poland,0,0,1,1,20,POL
